step = 193, t = 0.00017233792744483558, dt = 5.936728074232832e-7
step = 194, t = 0.00017293160025225887, dt = 5.936728074232832e-7
step = 195, t = 0.00017352527305968215, dt = 5.936728074232832e-7
step = 196, t = 0.00017411894586710544, dt = 5.936728074232832e-7
step = 197, t = 0.00017471261867452873, dt = 5.936728074232832e-7
step = 198, t = 0.000175306291481952, dt = 5.936728074232832e-7
step = 199, t = 0.0001758999642893753, dt = 5.936728074232832e-7
step = 200, t = 0.00017649363709679858, dt = 5.936728074232832e-7
step = 201, t = 0.00017708730990422187, dt = 5.936728074232832e-7
step = 202, t = 0.00017768098271164515, dt = 5.936728074232832e-7
step = 203, t = 0.00017827465551906844, dt = 5.936728074232832e-7
step = 204, t = 0.00017886832832649172, dt = 5.936728074232832e-7
step = 205, t = 0.000179462001133915, dt = 5.936728074232832e-7
step = 206, t = 0.0001800556739413383, dt = 5.936728074232832e-7
step = 207, t = 0.00018064934674876158, dt = 5.936728074232832e-7
step = 208, t = 0.00018124301955618486, dt = 5.936728074232832e-7
step = 209, t = 0.00018183669236360815, dt = 5.936728074232832e-7
step = 210, t = 0.00018243036517103143, dt = 5.936728074232832e-7
step = 211, t = 0.00018302403797845472, dt = 5.936728074232832e-7
step = 212, t = 0.0001835577471658844, dt = 5.337091874297015e-7
step = 213, t = 0.0001840914563533141, dt = 5.337091874297015e-7
step = 214, t = 0.0001846251655407438, dt = 5.337091874297015e-7
step = 215, t = 0.00018515887472817349, dt = 5.337091874297015e-7
step = 216, t = 0.00018569258391560318, dt = 5.337091874297015e-7
step = 217, t = 0.00018622629310303287, dt = 5.337091874297015e-7
step = 218, t = 0.00018676000229046256, dt = 5.337091874297015e-7
step = 219, t = 0.000187239890739242, dt = 4.798884487794531e-7
step = 220, t = 0.00018771977918802146, dt = 4.798884487794531e-7
step = 221, t = 0.0001881996676368009, dt = 4.798884487794531e-7
step = 222, t = 0.00018867955608558036, dt = 4.798884487794531e-7
step = 223, t = 0.0001891079481643778, dt = 4.283920787974565e-7
step = 224, t = 0.00018953634024317526, dt = 4.283920787974565e-7
step = 225, t = 0.00018991849591983096, dt = 3.82155676655696e-7
step = 226, t = 0.00019030065159648666, dt = 3.82155676655696e-7
